Code,Home Team,Away Team,Date,Final Score,1Q Score,2Q Score,3Q Score,4Q Score,Final Time,Home Team Points,Fg Made,Fg Attempted,3pt Made,3pt Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Turnovers,Blocks,Blocks Against,Fouls,Fouls Drawn,Away Team Points,Fg Made,Fg Attempted,3pt Made,3pt Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Turnovers,Blocks,Blocks Against,Fouls,Fouls Drawn,
2012-1,Fenerbahce Ulker Ist,Khimki Moscow Region,10/11/2012,92:80,25:25:00,21:11,16:18,30:26:00,200:00:00,92,31,52,4,12,18,22,10,27,13,6,10,4,9,21,20,80,29,53,4,16,10,13,10,19,20,5,9,9,4,20,20,1
2012-2,Real Madrid,Panathinaikos Athens,10/12/2012,85:78,22:20,13:24,24:16:00,26:18:00,200:00:00,85,23,38,5,23,24,31,15,19,11,13,17,3,0,22,29,78,23,34,7,21,11,13,7,19,15,5,23,0,3,29,21,1
2012-3,Mapooro Cantu,Union Olimpija Ljubl,10/11/2012,71:84,17:20,23:21,13:18,18:25,200:00:00,71,18,41,5,20,20,28,11,21,11,3,8,2,1,25,21,84,21,34,9,21,15,20,7,30,17,4,15,1,2,21,25,1
2012-4,Unicaja Malaga,Maccabi Electra Tel ,10/11/2012,80:85,20:25,16:22,27:18:00,17:20,200:00:00,80,10,31,13,27,21,27,10,25,5,3,14,2,7,26,28,85,17,38,9,19,24,33,10,24,16,5,12,7,2,28,25,1
2012-5,Montepaschi Siena,Alba Berlin,10/12/2012,82:92,25:25:00,14:17,20:27,23:23,200:00:00,82,13,29,11,27,23,28,9,18,15,5,12,1,5,25,27,92,27,46,5,11,23,26,10,22,15,2,12,5,1,27,25,1
2012-6,Elan Chalon-Sur-Saon,Asseco Prokom Gdynia,10/11/2012,81:74,11:12,22:16,24:20:00,24:26:00,200:00:00,81,16,40,11,27,16,20,10,26,14,12,17,1,3,24,24,74,14,28,12,27,10,23,6,28,19,7,25,3,1,24,24,1
2012-7,Olympiacos Piraeus,Laboral Kutxa Vitori,10/11/2012,85:81,18:23,30:14:00,17:29,20:15,200:00:00,85,22,42,11,19,8,14,8,23,14,7,12,1,3,24,20,81,21,42,7,19,18,23,8,21,14,5,11,3,1,20,24,1
2012-8,Zalgiris Kaunas,Cedevita Zagreb,10/11/2012,90:62,27:20:00,28:18:00,24:15:00,11:09,200:00:00,90,19,32,9,16,25,30,6,26,20,8,19,2,1,17,27,62,20,30,5,27,7,10,6,17,15,10,19,1,2,27,17,1
2012-9,EA7 Emporio Armani M,Anadolu Efes Istanbu,10/12/2012,80:75,18:15,22:19,24:16:00,16:25,200:00:00,80,11,31,15,28,13,14,5,20,18,8,16,2,1,17,21,75,25,46,5,11,10,17,9,27,11,8,19,1,2,22,17,1
2012-10,FC Barcelona Regal,Brose Baskets Bamber,10/12/2012,72:60,26:09:00,17:17,21:18,8:16,200:00:00,72,24,50,3,15,15,15,13,28,14,8,14,5,0,19,20,60,19,43,5,18,7,10,6,23,12,7,13,0,5,20,19,1
